order_sequence_raw,order_round,n_obs
0,0,4066
1,1,3861
2,2,3686
3,3,3571
4,4,3438
5,5,3274
6,6,3143
7,7,3011
8,8,2897
9,9,2822
10,10,2649
11,11,2549
12,12,2448
13,13,2364
14,14,2273
15,15,2175
16,16,2093
17,17,2031
18,18,1955
19,19,1897
20,20,1853
21,21,1805
22,22,1766
23,23,1732
24,24,1684
25,25,1643
26,26,1607
27,27,1572
28,28,1544
29,29,1507
30,30,1466
31,31,1439
32,32,1403
33,33,1375
34,34,1343
35,35,1323
36,36,1297
37,37,1279
38,38,1260
39,39,1235
40,40,1206
41,41,1188
42,42,1165
43,43,1145
44,44,1126
45,45,1102
46,46,1095
47,47,1084
48,48,1069
49,49,1055
