epoch,objective,train_loss,split_trained_on
1,ips,-0.6522541361548675,train
2,ips,-0.6533623950521553,train
3,ips,-0.6543748463822362,train
4,ips,-0.6551843906949596,train
5,ips,-0.6564672185999539,train
6,ips,-0.6580338882690128,train
7,ips,-0.6598952157391542,train
8,ips,-0.6618043190616031,train
9,ips,-0.6644868183479288,train
10,ips,-0.6662607797224732,train
11,ips,-0.6684997163699509,train
12,ips,-0.6694878897853591,train
13,ips,-0.6699163874299134,train
14,ips,-0.6706227589661763,train
15,ips,-0.6712942967665102,train
16,ips,-0.6721247529115638,train
17,ips,-0.6730268260774812,train
18,ips,-0.673590741954064,train
19,ips,-0.6740985730017461,train
20,ips,-0.6745756727617004,train
1,snips,-0.6421914785988425,train
2,snips,-0.6455000928948924,train
3,snips,-0.6491204091576659,train
4,snips,-0.6525490613266232,train
5,snips,-0.6560048721982434,train
6,snips,-0.6595026204954734,train
7,snips,-0.6627484165781945,train
8,snips,-0.6657613985890741,train
9,snips,-0.668453635544552,train
10,snips,-0.6708976248894746,train
11,snips,-0.6731487550006195,train
12,snips,-0.6751292909479137,train
13,snips,-0.676937696166164,train
14,snips,-0.6786580147933798,train
15,snips,-0.6802479251839941,train
16,snips,-0.6816937122015609,train
17,snips,-0.6830697910081434,train
18,snips,-0.6843652600142524,train
19,snips,-0.685598415620337,train
20,snips,-0.6867820300545205,train
1,dr,-0.6407219223187368,train
2,dr,-0.6457695668038469,train
3,dr,-0.6505722398145984,train
4,dr,-0.6550371083720345,train
5,dr,-0.6592644389539507,train
6,dr,-0.6635473216792546,train
7,dr,-0.6671946904933821,train
8,dr,-0.6705819012321141,train
9,dr,-0.6735962545342414,train
10,dr,-0.676272099274671,train
11,dr,-0.6786225926137649,train
12,dr,-0.6807437517846846,train
13,dr,-0.6826930451111272,train
14,dr,-0.6844394958090637,train
15,dr,-0.6860211329258015,train
16,dr,-0.6875400142845088,train
17,dr,-0.6889037768101087,train
18,dr,-0.6901979447710358,train
19,dr,-0.6913544383818581,train
20,dr,-0.6924730621692796,train
1,mis,-0.6545476059402443,train
2,mis,-0.6585456915053116,train
3,mis,-0.6619104864504357,train
4,mis,-0.6652789528631491,train
5,mis,-0.668196735705847,train
6,mis,-0.6712943173179649,train
7,mis,-0.6733093099055717,train
8,mis,-0.6750111426150788,train
9,mis,-0.6765600768464621,train
10,mis,-0.6782802378554614,train
11,mis,-0.6797185170714832,train
12,mis,-0.6813649303519589,train
13,mis,-0.6828669486478892,train
14,mis,-0.6843207562430295,train
15,mis,-0.6857079619240387,train
16,mis,-0.6869589515522657,train
17,mis,-0.6881061126146105,train
18,mis,-0.6891091029265036,train
19,mis,-0.6901237528281421,train
20,mis,-0.6910171797583964,train
