user,split
2355,train
2912,train
2662,train
719,train
2053,train
1918,train
3017,train
1632,train
2773,train
2987,train
1284,train
996,train
1983,train
3767,train
1962,train
3490,train
492,train
1451,train
3204,train
1860,train
2346,train
1696,train
3652,train
762,train
2023,train
2995,train
2603,train
3118,train
530,train
2047,train
1758,train
1110,train
3905,train
1113,train
628,train
3958,train
1806,train
321,train
4044,train
2178,train
2405,train
352,train
1372,train
1677,train
3700,train
3322,train
697,train
884,train
1843,train
1135,train
3071,train
1808,train
1895,train
1129,train
2907,train
212,train
2184,train
2523,train
592,train
1348,train
3100,train
1491,train
2636,train
3923,train
3684,train
122,train
1148,train
614,train
2627,train
500,train
2190,train
865,train
3019,train
3200,train
1476,train
1487,train
2536,train
466,train
1769,train
1009,train
2994,train
2797,train
1070,train
2563,train
192,train
2140,train
1511,train
1412,train
4059,train
975,train
3554,train
2692,train
2014,train
3051,train
1071,train
2840,train
1243,train
1345,train
1464,train
889,train
743,train
3769,train
3531,train
3461,train
956,train
3566,train
2041,train
2138,train
510,train
3666,train
2943,train
712,train
2133,train
2228,train
607,train
1703,train
2598,train
2852,train
3495,train
1244,train
1411,train
3143,train
1628,train
31,train
2559,train
3872,train
1496,train
3207,train
1946,train
3617,train
1021,train
3178,train
1779,train
2277,train
2689,train
367,train
453,train
2391,train
3705,train
135,train
444,train
3107,train
2222,train
3426,train
2789,train
3951,train
1960,train
1872,train
591,train
2504,train
424,train
1776,train
4013,train
2448,train
3950,train
1096,train
2750,train
3762,train
1627,train
174,train
2243,train
2566,train
3452,train
2092,train
1145,train
2568,train
2803,train
3563,train
1968,train
2865,train
2246,train
2911,train
2552,train
3844,train
4007,train
365,train
621,train
2950,train
2796,train
68,train
2393,train
281,train
662,train
2896,train
2071,train
2620,train
3492,train
991,train
1514,train
2502,train
3817,train
343,train
1537,train
2479,train
3185,train
2732,train
50,train
1011,train
625,train
720,train
1132,train
2575,train
3569,train
2930,train
2682,train
2230,train
1445,train
3903,train
2687,train
470,train
4037,train
2505,train
1314,train
186,train
400,train
940,train
3913,train
257,train
1731,train
3316,train
1859,train
1637,train
498,train
1727,train
3856,train
2982,train
2060,train
3513,train
2738,train
1302,train
2182,train
377,train
1988,train
175,train
2002,train
3636,train
178,train
1774,train
2003,train
680,train
3710,train
3534,train
2919,train
663,train
2862,train
2282,train
48,train
2221,train
3608,train
2463,train
3806,train
2293,train
960,train
1723,train
1557,train
3665,train
2197,train
3278,train
1655,train
2538,train
3364,train
3205,train
913,train
3446,train
1707,train
3576,train
1873,train
1666,train
2974,train
2135,train
1431,train
772,train
2086,train
3074,train
1083,train
2127,train
433,train
2506,train
2947,train
3280,train
3450,train
1738,train
2596,train
3754,train
2985,train
3084,train
709,train
2783,train
2026,train
2891,train
2466,train
3671,train
3132,train
176,train
385,train
1826,train
429,train
2724,train
2726,train
2829,train
1361,train
2584,train
3165,train
1160,train
78,train
3229,train
2114,train
1143,train
4043,train
100,train
451,train
454,train
2100,train
3764,train
792,train
1339,train
2740,train
580,train
638,train
4001,train
3565,train
3411,train
1503,train
779,train
1864,train
3191,train
2027,train
2388,train
2965,train
1743,train
2876,train
2880,train
965,train
1064,train
2040,train
3047,train
1645,train
1699,train
3371,train
242,train
3960,train
2162,train
231,train
214,train
2179,train
2298,train
1847,train
1982,train
623,train
409,train
3374,train
2441,train
181,train
3285,train
2978,train
2081,train
2779,train
3153,train
1455,train
1618,train
1716,train
1157,train
797,train
3428,train
3533,train
2438,train
2759,train
3659,train
303,train
3831,train
1761,train
2637,train
2477,train
1048,train
2838,train
2527,train
3283,train
2737,train
3739,train
108,train
1052,train
1777,train
1615,train
1489,train
1067,train
3786,train
2368,train
3231,train
8,train
3776,train
1334,train
1208,train
2975,train
596,train
724,train
3451,train
233,train
1188,train
1811,train
2915,train
1481,train
660,train
2856,train
132,train
2831,train
522,train
70,train
1690,train
1220,train
1215,train
3733,train
1782,train
17,train
3937,train
2174,train
3004,train
1346,train
3174,train
3233,train
3935,train
1248,train
3472,train
3296,train
3309,train
3667,train
3341,train
2841,train
1357,train
2595,train
1075,train
3978,train
3801,train
1684,train
1452,train
2173,train
1551,train
3858,train
1804,train
2751,train
1221,train
1719,train
2326,train
643,train
3101,train
3369,train
3873,train
512,train
2451,train
1912,train
1927,train
2068,train
668,train
1222,train
672,train
220,train
116,train
723,train
2684,train
3521,train
1405,train
3615,train
1948,train
3751,train
2580,train
594,train
332,train
1525,train
877,train
3727,train
2927,train
1839,train
3225,train
2629,train
2005,train
2373,train
519,train
1001,train
1005,train
3206,train
1771,train
3058,train
3131,train
3274,train
2124,train
3546,train
3998,train
2647,train
1055,train
774,train
1598,train
3927,train
3202,train
514,train
1063,train
1312,train
3227,train
3077,train
481,train
4016,train
3413,train
2238,train
133,train
3902,train
1796,train
3922,train
310,train
2143,train
1236,train
29,train
788,train
28,train
3734,train
4040,train
529,train
3403,train
1128,train
3731,train
2626,train
3039,train
2467,train
2259,train
2128,train
3591,train
1430,train
1392,train
3740,train
230,train
1449,train
2049,train
3952,train
1012,train
3990,train
713,train
2485,train
1972,train
2721,train
2889,train
2542,train
1686,train
2247,train
3489,train
1517,train
322,train
622,train
835,train
1174,train
993,train
2938,train
2611,train
2814,train
2159,train
479,train
863,train
554,train
1230,train
1617,train
177,train
2753,train
683,train
3034,train
885,train
3126,train
1073,train
1088,train
249,train
381,train
170,train
1103,train
34,train
3530,train
125,train
3219,train
2214,train
313,train
82,train
1107,train
557,train
1355,train
3638,train
3061,train
77,train
16,train
2379,train
2327,train
4006,train
2885,train
3306,train
892,train
1490,train
933,train
3543,train
3830,train
1750,train
130,train
4057,train
293,train
567,train
2639,train
2920,train
3338,train
2270,train
2597,train
3436,train
1212,train
3827,train
951,train
1283,train
129,train
2881,train
2707,train
147,train
910,train
3494,train
1978,train
2262,train
941,train
3623,train
1101,train
1892,train
2115,train
2437,train
2578,train
2349,train
3522,train
2131,train
402,train
1985,train
1025,train
1034,train
3581,train
1333,train
158,train
1460,train
80,train
1904,train
2283,train
2037,train
3164,train
1472,train
1622,train
2747,train
1270,train
223,train
1965,train
536,train
957,train
3838,train
3257,train
3747,train
1152,train
2251,train
2944,train
3010,train
1440,train
3493,train
1519,train
2895,train
1338,train
497,train
2756,train
1694,train
151,train
866,train
3506,train
2265,train
1417,train
2339,train
1389,train
1262,train
2415,train
1204,train
3033,train
3876,train
2725,train
3639,train
2446,train
617,train
3840,train
3442,train
2667,train
2292,train
3647,train
3297,train
1966,train
495,train
1538,train
3763,train
2739,train
1329,train
890,train
619,train
1818,train
2374,train
461,train
418,train
435,train
1509,train
441,train
1798,train
783,train
1935,train
1328,train
1833,train
2465,train
1225,train
1341,train
693,train
3612,train
1352,train
285,train
3303,train
1435,train
2515,train
3770,train
372,train
3048,train
1712,train
422,train
2842,train
2501,train
4,train
4021,train
216,train
3086,train
1306,train
2734,train
191,train
2481,train
3850,train
30,train
3001,train
1175,train
2510,train
2909,train
3258,train
2417,train
2877,train
3318,train
3812,train
677,train
2849,train
2266,train
2284,train
578,train
2492,train
1980,train
1378,train
1069,train
782,train
1647,train
3695,train
2954,train
612,train
3772,train
2859,train
1,train
854,train
3224,train
2151,train
2096,train
2731,train
2587,train
2777,train
3519,train
2951,train
3706,train
2656,train
3434,train
2748,train
185,train
2408,train
2203,train
3895,train
786,train
1692,train
876,train
3149,train
1241,train
1087,train
3099,train
2813,train
692,train
2180,train
396,train
2879,train
1026,train
1921,train
2167,train
4027,train
1773,train
935,train
3685,train
1604,train
452,train
404,train
1504,train
929,train
47,train
581,train
2593,train
1227,train
1205,train
2820,train
1124,train
45,train
1141,train
84,train
1664,train
1714,train
676,train
419,train
476,train
2872,train
1274,train
518,train
3777,train
3269,train
3651,train
3,train
768,train
3920,train
1325,train
3046,train
2235,train
2316,train
649,train
2574,train
2932,train
415,train
609,train
2848,train
2257,train
769,train
2490,train
2997,train
4041,train
2558,train
748,train
1168,train
1144,train
2054,train
2589,train
3463,train
2445,train
3423,train
917,train
3708,train
3691,train
1944,train
1155,train
2688,train
416,train
2594,train
3802,train
1575,train
2098,train
4049,train
1646,train
3819,train
2755,train
1217,train
289,train
812,train
1763,train
2013,train
2633,train
1830,train
1889,train
282,train
1031,train
1670,train
654,train
686,train
3582,train
3996,train
3128,train
3151,train
