epoch,objective,train_loss,split_trained_on
1,ips,-1.7300256310518676,train
2,ips,-1.777472117542773,train
3,ips,-1.8082989692836688,train
4,ips,-1.8344405374361645,train
5,ips,-1.8656550906686773,train
6,ips,-1.9043643073887164,train
7,ips,-1.9507371546375896,train
8,ips,-2.0051533895834717,train
9,ips,-2.0677414850309073,train
10,ips,-2.137492865928803,train
11,ips,-2.2109117106361693,train
12,ips,-2.282437495253669,train
13,ips,-2.347009500486423,train
14,ips,-2.4000128125716484,train
15,ips,-2.4352469459117376,train
16,ips,-2.457631160375767,train
17,ips,-2.4675721551927503,train
18,ips,-2.470880446706803,train
19,ips,-2.4716712291079244,train
20,ips,-2.4721119286476183,train
1,snips,-1.6087861989177568,train
2,snips,-1.6590032461597415,train
3,snips,-1.717282429467442,train
4,snips,-1.7805251485282745,train
5,snips,-1.8443300728876062,train
6,snips,-1.9088783605206587,train
7,snips,-1.9724904989342855,train
8,snips,-2.0340735666582317,train
9,snips,-2.09336973030802,train
10,snips,-2.1511119589337087,train
11,snips,-2.206768449357558,train
12,snips,-2.2561014900487737,train
13,snips,-2.297431639921924,train
14,snips,-2.3322164289704674,train
15,snips,-2.361468913372547,train
16,snips,-2.3850055007189086,train
17,snips,-2.404510233826075,train
18,snips,-2.4204205544596507,train
19,snips,-2.4329432632564014,train
20,snips,-2.4432378726447745,train
1,dr,-1.620897803337311,train
2,dr,-1.6582610301210532,train
3,dr,-1.6989531233438444,train
4,dr,-1.7449035388835923,train
5,dr,-1.79945806106911,train
6,dr,-1.8598847829538707,train
7,dr,-1.9239923358810327,train
8,dr,-1.9887483584707484,train
9,dr,-2.0521935846085726,train
10,dr,-2.1154042876390053,train
11,dr,-2.1765880331320813,train
12,dr,-2.2323716994973446,train
13,dr,-2.283422058251327,train
14,dr,-2.3267184704009662,train
15,dr,-2.363885177186758,train
16,dr,-2.3946334141992436,train
17,dr,-2.4188646031310514,train
18,dr,-2.4376612953581205,train
19,dr,-2.451666601460278,train
20,dr,-2.462215961492824,train
1,mis,-1.6651408570266668,train
2,mis,-1.7149737510009688,train
3,mis,-1.7562669412111718,train
4,mis,-1.7910705463585639,train
5,mis,-1.8256983554883288,train
6,mis,-1.867040048355364,train
7,mis,-1.9194215988854282,train
8,mis,-1.98517227718636,train
9,mis,-2.0658901513701595,train
10,mis,-2.1610768480969833,train
11,mis,-2.2675050727911956,train
12,mis,-2.3808905318866636,train
13,mis,-2.495202677307268,train
14,mis,-2.605143427726276,train
15,mis,-2.701853271019814,train
16,mis,-2.7854406116060555,train
17,mis,-2.8453531318212546,train
18,mis,-2.8838712098209354,train
19,mis,-2.9049737637518374,train
20,mis,-2.9194024134816225,train
