user,split
18362,train
4375,train
18857,train
20106,train
16179,train
14459,train
8346,train
14449,train
1032,train
17489,train
6540,train
3913,train
19519,train
15148,train
5180,train
13705,train
7472,train
20393,train
10826,train
19323,train
7715,train
5198,train
17876,train
5918,train
14708,train
18131,train
8833,train
2349,train
4986,train
18485,train
4314,train
8751,train
8262,train
17877,train
14059,train
19686,train
8894,train
11274,train
6101,train
16316,train
1017,train
5615,train
10049,train
11475,train
17661,train
8138,train
4654,train
8999,train
5648,train
9045,train
1156,train
3149,train
18063,train
15712,train
19498,train
5900,train
14206,train
2684,train
20103,train
20278,train
3275,train
8098,train
3421,train
18730,train
7006,train
14624,train
4509,train
13114,train
1447,train
9513,train
14406,train
10466,train
12536,train
3783,train
344,train
9427,train
4627,train
20209,train
2375,train
20080,train
15379,train
9388,train
9461,train
10964,train
19696,train
1993,train
18881,train
170,train
20488,train
15636,train
19105,train
2287,train
14798,train
1449,train
105,train
715,train
2595,train
18533,train
3096,train
18981,train
2711,train
8381,train
17398,train
10188,train
19295,train
8470,train
14995,train
5195,train
15058,train
4695,train
4434,train
9849,train
11083,train
6600,train
14841,train
8595,train
989,train
15977,train
2052,train
892,train
6938,train
16967,train
10875,train
8773,train
14500,train
13163,train
12502,train
3968,train
3433,train
18889,train
4123,train
4307,train
16259,train
1828,train
14150,train
6439,train
540,train
11169,train
6276,train
4984,train
5835,train
3310,train
3794,train
18302,train
679,train
747,train
17773,train
2190,train
10545,train
9635,train
287,train
4180,train
2027,train
8823,train
3873,train
10468,train
12830,train
13297,train
9585,train
15630,train
249,train
16492,train
20191,train
3498,train
12496,train
14067,train
7421,train
9515,train
7367,train
1707,train
7497,train
5722,train
3637,train
17015,train
2712,train
12636,train
17755,train
7673,train
16417,train
3362,train
543,train
14436,train
2273,train
20529,train
5488,train
11342,train
1340,train
12809,train
7589,train
7331,train
12182,train
1356,train
8934,train
860,train
11072,train
12089,train
8589,train
2889,train
18794,train
8247,train
7135,train
19462,train
13431,train
9525,train
8753,train
8764,train
41,train
3057,train
9218,train
5736,train
17648,train
19560,train
524,train
14367,train
18092,train
15559,train
14883,train
5388,train
10233,train
14559,train
14473,train
14654,train
6255,train
14502,train
11872,train
1892,train
5977,train
1143,train
1087,train
6171,train
1961,train
12185,train
10371,train
10438,train
1541,train
7317,train
11787,train
11151,train
18541,train
15225,train
944,train
2402,train
11736,train
15326,train
11500,train
13565,train
15277,train
330,train
14297,train
14334,train
3048,train
16965,train
9775,train
13772,train
1190,train
19657,train
4340,train
476,train
9872,train
15675,train
9259,train
17558,train
918,train
13071,train
16413,train
16515,train
4130,train
11760,train
19080,train
16854,train
13315,train
5209,train
14668,train
1200,train
4482,train
17915,train
13605,train
8937,train
11728,train
1812,train
19257,train
467,train
11566,train
2598,train
5422,train
3284,train
16091,train
4091,train
4779,train
14187,train
2884,train
12411,train
18643,train
15089,train
17760,train
11714,train
11073,train
735,train
16877,train
1808,train
2462,train
3168,train
5881,train
11332,train
13764,train
7498,train
10448,train
19821,train
16164,train
19114,train
1342,train
1370,train
1062,train
2286,train
10084,train
11158,train
11716,train
1059,train
3006,train
10312,train
3581,train
12835,train
19370,train
15701,train
16569,train
13644,train
9299,train
16043,train
10523,train
7932,train
18468,train
7466,train
11819,train
3193,train
2751,train
