subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_0,0,0,0,16000,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,-0.09736384490008917,12.341558380168994,12.328025039075333,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-16.754192431420094,0.22985131650672402,0.71386905049601,0.10136857087103424,-0.011384794229567376
order_1,1,1,1,15999,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9806745680676451,0.8340725886549267,0.636418893866612,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-4.067929325057195,-0.15967915076074635,-0.02545714250281673,0.1476678963975531,0.12492460617849936
order_2,2,2,2,15999,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.7511153765964764,0.5134857250218884,0.34410605036541936,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-2.958313045931395,-0.002708431087627555,-0.6862480752858767,-0.031270639442025586,0.2623792096387813
order_3,3,3,3,15999,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.8192763004009218,0.5513961849425074,0.454674524109211,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-2.613333758602922,0.0606610099197252,-0.630530675007036,-0.13595324637171777,0.41165779346672615
order_4,4,4,4,15999,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9848361700638024,0.6494439097373538,0.5607868628397462,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.835978880863334,0.12353744501716142,-0.4575902654572263,-0.11675646277263935,0.3073860333722546
order_5,5,5,5,15998,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0234572387337952,0.6772561966023363,0.588200686574313,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.367221790709927,0.19623357328685626,-0.4348205283867688,-0.1438807962259535,0.5117323981641181
order_6,6,6,6,15996,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.7353802219936706,0.5076981587970296,0.422641793832593,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.6131745574115968,0.029534259098582292,-0.7205343174961946,-0.16611503978081238,0.48121421728791763
order_7,7,7,7,15992,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0602559129661402,0.6990429611180423,0.5387308739359716,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.2012537796057206,0.2891742018721302,-0.3731110543947328,0.058995621339162335,0.18246816920894246
order_8,8,8,8,15992,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0241511698342907,0.677061832300118,0.5780670165868331,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.693708439718059,0.5433129148794029,-0.4131694241462552,-0.2170370772467964,0.2449203163228162
order_9,9,9,9,15989,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9736019033702356,0.6510109779308338,0.4902345721743581,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.3127352592090386,0.630357671412897,-0.47821672528620196,-0.41110251774664264,0.43992503150769824
order_10,10,10,10,15987,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.0107902432842872,0.6828300401099174,0.5392863573959163,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.05086784388378557,0.9285017463879478,-0.4514496924164061,-0.5593955341030354,0.5838165384612637
order_11,11,11,11,15984,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9302684677247323,0.6358120447269602,0.481061068493881,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.03309217301795016,0.8656447787293364,-0.5427375743001047,-0.6248539725236543,0.7267753517185452
order_12,12,12,12,15981,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,0.9764924964979399,0.6692003692526378,0.505020321973764,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.13226679377118009,0.7698603720939278,-0.5140707970066571,-0.6395441074219369,0.9625465047986893
order_13,13,13,13,15979,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.344715562004018,0.9325961266167606,0.7704418441618549,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.5734538910959136,2.484677804787276,-0.04215515578122303,0.009011367802150332,-0.24317652496800746
order_14,14,14,14,15973,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.2591339537441573,0.85477478876108,0.6832121683391338,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.5666111579908696,2.252340257616148,-0.14095877274623372,0.11565258839829554,-0.14611679597747002
order_15,15,15,15,15971,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1417934128689395,0.7738354909178246,0.5075593907423342,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.2503175074827946,1.2268589751339658,-0.38448765622412856,0.06167412193517014,1.3932463542854174
order_16,16,16,16,15968,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1978902705441534,0.8235182925532192,0.6379032051097367,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.2071106978777057,2.624860509165299,-0.3176948526799323,0.23735235487268003,1.3761199406715277
order_17,17,17,17,15967,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1339231890541557,0.7574812548686157,0.5961231225077936,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.16645446355389895,2.596852761542466,-0.33943781936647244,0.06532887499644069,0.7431058014894381
order_18,18,18,18,15960,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.1196892982325495,0.7473864496251529,0.5874044468238097,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.12689109581377528,2.527191697013976,-0.3532067969012783,0.09798691589024885,0.7272293002269206
order_19,19,19,19,15957,truncated_gaussian,-4.751266469038686,3.68623307832187,1,2,1.119866892126434,0.759196603850828,0.5907380799028011,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.06823991553396647,2.423389244580528,-0.3950870693068616,0.26148659544399117,1.2956716220370763
