order_sequence_raw,order_round,n_obs
0,0,20000
1,1,19999
2,2,19999
3,3,19999
4,4,19999
5,5,19998
6,6,19995
7,7,19991
8,8,19990
9,9,19986
10,10,19984
11,11,19981
12,12,19977
13,13,19975
14,14,19968
15,15,19966
16,16,19961
17,17,19958
18,18,19947
19,19,19942
20,20,19928
21,21,19919
22,22,19900
23,23,19887
24,24,19872
25,25,19839
26,26,19798
27,27,19674
28,28,19016
29,29,14313
30,29,150
31,29,148
32,29,147
33,29,146
34,29,144
35,29,140
36,29,138
37,29,134
38,29,129
39,29,125
40,29,123
41,29,121
42,29,118
43,29,114
44,29,114
45,29,111
46,29,108
47,29,106
48,29,104
49,29,101
50,29,98
51,29,95
52,29,94
53,29,91
54,29,90
55,29,89
56,29,89
57,29,86
58,29,81
59,29,50
60,29,1
61,29,1
62,29,1
63,29,1
64,29,1
65,29,1
66,29,1
67,29,1
68,29,1
69,29,1
70,29,1
71,29,1
72,29,1
73,29,1
74,29,1
75,29,1
76,29,1
77,29,1
78,29,1
79,29,1
80,29,1
81,29,1
82,29,1
83,29,1
84,29,1
