epoch,objective,train_loss,split_trained_on
1,ips,-2.103390432217337,train
2,ips,-2.2648284720726584,train
3,ips,-2.411512854000028,train
4,ips,-2.529633474303769,train
5,ips,-2.6095174586315077,train
6,ips,-2.6508393260825796,train
7,ips,-2.674963930346425,train
8,ips,-2.6977735535220906,train
9,ips,-2.7218933200901656,train
10,ips,-2.7420783891314193,train
11,ips,-2.757703055013675,train
12,ips,-2.7701560196618735,train
13,ips,-2.7809003358415025,train
14,ips,-2.790960278401882,train
15,ips,-2.800960362042633,train
16,ips,-2.8065077598021086,train
17,ips,-2.8093421530729943,train
18,ips,-2.813231651887923,train
19,ips,-2.818771153871612,train
20,ips,-2.8219045244053698,train
1,snips,-2.4107562040158523,train
2,snips,-2.545785614436857,train
3,snips,-2.660613214808871,train
4,snips,-2.752778495238083,train
5,snips,-2.8228263579632467,train
6,snips,-2.8737812653441033,train
7,snips,-2.9104654702007497,train
8,snips,-2.9382539669182437,train
9,snips,-2.9601199748297438,train
10,snips,-2.976870286935536,train
11,snips,-2.9894947100169595,train
12,snips,-2.9980867670812015,train
13,snips,-3.0049570896283018,train
14,snips,-3.011328676118491,train
15,snips,-3.0162353439125345,train
16,snips,-3.0205459913152244,train
17,snips,-3.024743061031858,train
18,snips,-3.0290970537780346,train
19,snips,-3.0330208076626493,train
20,snips,-3.0351945406773244,train
1,dr,-2.3665729213144613,train
2,dr,-2.5094721497423915,train
3,dr,-2.6382333008366885,train
4,dr,-2.7461603212667476,train
5,dr,-2.8278691411556323,train
6,dr,-2.881714662626461,train
7,dr,-2.915151675636128,train
8,dr,-2.935121125340144,train
9,dr,-2.949868739625263,train
10,dr,-2.9612124621291978,train
11,dr,-2.971907163018101,train
12,dr,-2.980988917460245,train
13,dr,-2.9882812729726895,train
14,dr,-2.9946185652907205,train
15,dr,-3.0003472686982273,train
16,dr,-3.005194575989562,train
17,dr,-3.008900496800134,train
18,dr,-3.011774851822958,train
19,dr,-3.01398848836063,train
20,dr,-3.0158263834808925,train
1,mis,-2.381946755432947,train
2,mis,-2.545865968244053,train
3,mis,-2.6947981031713275,train
4,mis,-2.814991177752736,train
5,mis,-2.8950847472197485,train
6,mis,-2.9383637412048236,train
7,mis,-2.9640927299704942,train
8,mis,-2.9849411721411987,train
9,mis,-3.004510450376213,train
10,mis,-3.0227419053920603,train
11,mis,-3.0439747885364308,train
12,mis,-3.0667911085282515,train
13,mis,-3.08061568862839,train
14,mis,-3.087169651530263,train
15,mis,-3.0915021100849787,train
16,mis,-3.0931473929803848,train
17,mis,-3.0977282127297996,train
18,mis,-3.1002360475452635,train
19,mis,-3.1033861013576964,train
20,mis,-3.107732977049324,train
