user,split
62103,train
80815,train
55440,train
58410,train
87268,train
66265,train
65869,train
92183,train
15833,train
19950,train
94220,train
11701,train
89198,train
59154,train
79299,train
66507,train
85019,train
659,train
9354,train
75063,train
81711,train
32674,train
87840,train
73660,train
76864,train
8658,train
18663,train
40260,train
45975,train
23723,train
93366,train
33289,train
732,train
25801,train
41090,train
71060,train
62673,train
97719,train
83055,train
59201,train
71783,train
65014,train
55496,train
51115,train
71150,train
2511,train
21931,train
98077,train
10366,train
62592,train
23355,train
98963,train
39703,train
61868,train
36244,train
16390,train
70251,train
824,train
95526,train
8362,train
98047,train
50330,train
97013,train
41385,train
43460,train
47414,train
11774,train
73698,train
99062,train
69741,train
25690,train
94649,train
22359,train
84953,train
96612,train
97376,train
33459,train
73511,train
1646,train
6364,train
79706,train
11673,train
57629,train
76240,train
53209,train
45515,train
38101,train
6947,train
35254,train
28941,train
58627,train
88700,train
6718,train
57355,train
12991,train
89328,train
23039,train
59752,train
43144,train
59731,train
5694,train
88245,train
6945,train
28497,train
91824,train
74223,train
6941,train
92365,train
43719,train
5858,train
83598,train
45782,train
91411,train
28215,train
60683,train
50011,train
99695,train
27464,train
72459,train
67303,train
43025,train
96470,train
18604,train
20002,train
80263,train
88610,train
97630,train
12056,train
43891,train
65124,train
28805,train
17057,train
41370,train
57892,train
29534,train
88695,train
2629,train
57447,train
24792,train
6705,train
7718,train
3513,train
26412,train
28851,train
8252,train
22158,train
71989,train
88298,train
70342,train
31449,train
46919,train
8251,train
54087,train
12951,train
62564,train
67877,train
68169,train
39164,train
20718,train
18408,train
54675,train
5349,train
84422,train
20947,train
26202,train
19139,train
2322,train
40174,train
3080,train
45140,train
52020,train
84312,train
55777,train
62848,train
60786,train
53328,train
62031,train
9009,train
35289,train
2582,train
5330,train
42550,train
75307,train
3266,train
12809,train
61253,train
16069,train
38039,train
72895,train
63130,train
17014,train
43670,train
24495,train
18896,train
25951,train
97338,train
43970,train
37898,train
97168,train
95852,train
63040,train
1435,train
53007,train
62330,train
97498,train
7015,train
63757,train
60332,train
48827,train
4664,train
24560,train
98899,train
45648,train
90643,train
11985,train
96666,train
9048,train
12500,train
50633,train
12174,train
75415,train
58153,train
15148,train
39062,train
8200,train
91255,train
70661,train
37667,train
3205,train
65805,train
97392,train
94609,train
6071,train
45481,train
46947,train
85223,train
1425,train
90383,train
62277,train
9163,train
27666,train
63938,train
5239,train
70910,train
66207,train
3524,train
32904,train
75777,train
69573,train
54923,train
51765,train
8544,train
3905,train
44548,train
10702,train
31193,train
41892,train
5160,train
22557,train
51652,train
33930,train
3210,train
65174,train
4278,train
24784,train
72146,train
81674,train
32948,train
21725,train
51721,train
7189,train
5672,train
98325,train
1111,train
51154,train
89010,train
78434,train
16879,train
95925,train
53251,train
69941,train
4189,train
80106,train
62597,train
77443,train
89336,train
21496,train
46561,train
93335,train
63817,train
63313,train
89983,train
95929,train
81347,train
87415,train
94545,train
40444,train
86794,train
96406,train
12026,train
21417,train
81482,train
26158,train
39730,train
1722,train
50084,train
99434,train
62797,train
30837,train
60336,train
82464,train
38664,train
28451,train
86347,train
44905,train
38355,train
83444,train
83661,train
87510,train
2343,train
79831,train
79933,train
72115,train
21645,train
99386,train
68481,train
51581,train
21769,train
21619,train
97482,train
91282,train
92117,train
4927,train
34847,train
79768,train
60778,train
53165,train
5174,train
10095,train
40750,train
97647,train
15449,train
671,train
15919,train
58237,train
28369,train
76355,train
81214,train
52107,train
35019,train
89515,train
96920,train
41179,train
82480,train
52273,train
20907,train
79908,train
78271,train
83237,train
30679,train
81795,train
8423,train
89141,train
47384,train
13266,train
36232,train
849,train
9106,train
87605,train
83760,train
75024,train
16158,train
25644,train
91099,train
36171,train
56642,train
37350,train
41091,train
63376,train
28896,train
39663,train
59643,train
58711,train
10415,train
3382,train
17134,train
25195,train
15854,train
73594,train
51373,train
51390,train
55172,train
55595,train
64715,train
1525,train
7863,train
49415,train
16983,train
22548,train
45603,train
82313,train
9970,train
16635,train
6375,train
13227,train
94305,train
99208,train
44822,train
27374,train
97491,train
76782,train
12906,train
11357,train
92313,train
95221,train
94472,train
66842,train
85725,train
27890,train
85336,train
29024,train
94172,train
30046,train
88815,train
32256,train
76585,train
74622,train
57313,train
95654,train
61410,train
8762,train
14451,train
79017,train
10542,train
27709,train
77590,train
48705,train
23028,train
65052,train
27710,train
80521,train
90519,train
78822,train
54485,train
91420,train
70263,train
1421,train
53010,train
16195,train
27749,train
49903,train
43566,train
13374,train
74016,train
83562,train
19447,train
2035,train
45464,train
26823,train
18186,train
40239,train
48120,train
30695,train
26682,train
95324,train
25248,train
63131,train
36270,train
10238,train
94121,train
3864,train
23210,train
62619,train
3468,train
47528,train
5024,train
63434,train
95726,train
75177,train
6789,train
59631,train
81269,train
5655,train
33081,train
16395,train
27007,train
95532,train
11373,train
68336,train
66670,train
249,train
5606,train
72056,train
16986,train
49066,train
68987,train
54660,train
57648,train
57935,train
92179,train
61800,train
34379,train
45722,train
3617,train
8605,train
19200,train
44312,train
77251,train
73527,train
9061,train
9324,train
48808,train
89053,train
37087,train
85692,train
50486,train
68490,train
4526,train
30990,train
5610,train
88278,train
63919,train
87054,train
13579,train
65734,train
5925,train
7315,train
2575,train
69851,train
66674,train
53372,train
75844,train
6808,train
80451,train
36058,train
40119,train
78020,train
98090,train
15504,train
14273,train
11699,train
25833,train
10868,train
55345,train
41868,train
66770,train
81838,train
13361,train
95968,train
39985,train
36805,train
26447,train
61689,train
66620,train
26360,train
92556,train
72587,train
72051,train
45844,train
73557,train
86840,train
22924,train
60767,train
49598,train
39965,train
86396,train
17243,train
2030,train
62462,train
28274,train
23394,train
68109,train
5368,train
45936,train
83304,train
84576,train
45234,train
47971,train
57038,train
75065,train
56230,train
58860,train
27664,train
33336,train
86493,train
22595,train
62663,train
48760,train
34861,train
87470,train
74091,train
7869,train
68193,train
94002,train
85798,train
59672,train
23932,train
52375,train
75673,train
62882,train
91080,train
90800,train
50910,train
58675,train
81331,train
15266,train
72419,train
19228,train
96658,train
89220,train
2827,train
99374,train
77346,train
48537,train
91491,train
