order_sequence_raw,order_round,n_obs
0,0,14567
1,1,14567
2,2,14567
3,3,14567
4,4,14567
5,5,14567
6,6,14567
7,7,14567
8,8,14567
9,9,14567
10,10,14042
11,11,13566
12,12,13057
13,13,12645
14,14,12277
15,15,11861
16,16,11458
17,17,11122
18,18,10761
19,19,10451
20,20,10132
21,21,9797
22,22,9494
23,23,9182
24,24,8896
25,25,8642
26,26,8396
27,27,8177
28,28,7936
29,29,7726
30,30,7494
31,31,7286
32,32,7111
33,33,6918
34,34,6748
35,35,6566
36,36,6388
37,37,6199
38,38,6054
39,39,5896
40,40,5724
41,41,5591
42,42,5470
43,43,5336
44,44,5211
45,45,5091
46,46,4966
47,47,4855
48,48,4748
49,49,4642
