epoch,objective,train_loss,split_trained_on
1,ips,-0.7444514182372195,train
2,ips,-0.7702788868578604,train
3,ips,-0.8091113085299506,train
4,ips,-0.8670050422145772,train
5,ips,-0.9409715521119846,train
6,ips,-1.0207238053126488,train
7,ips,-1.0965488317579766,train
8,ips,-1.159745982073102,train
9,ips,-1.2037390908224062,train
10,ips,-1.2291243199464654,train
11,ips,-1.2424133064005212,train
12,ips,-1.2486451928774505,train
13,ips,-1.2519814159353124,train
14,ips,-1.2541727180012947,train
15,ips,-1.2558697003132842,train
16,ips,-1.2572821422670355,train
17,ips,-1.258468941512708,train
18,ips,-1.2594999215407041,train
19,ips,-1.260405938449599,train
20,ips,-1.2611891625195648,train
1,snips,-0.7470268546855476,train
2,snips,-0.7879108351218665,train
3,snips,-0.8349762944468627,train
4,snips,-0.8800462916372285,train
5,snips,-0.9184403469758113,train
6,snips,-0.9506226907861486,train
7,snips,-0.9778948545676657,train
8,snips,-1.0014458720458133,train
9,snips,-1.0212141632073508,train
10,snips,-1.0371674678263134,train
11,snips,-1.0493878963644865,train
12,snips,-1.058677877985738,train
13,snips,-1.0654155751805867,train
14,snips,-1.0702986827328382,train
15,snips,-1.0738364234926308,train
16,snips,-1.0765111924283035,train
17,snips,-1.0784044083759676,train
18,snips,-1.079832337684636,train
19,snips,-1.0809707537081434,train
20,snips,-1.0818349194676715,train
1,dr,-0.754196525715502,train
2,dr,-0.7746548784973382,train
3,dr,-0.7916410590287929,train
4,dr,-0.8147016835790364,train
5,dr,-0.851666217662269,train
6,dr,-0.8988286992172673,train
7,dr,-0.9450767155258784,train
8,dr,-0.9838197596801893,train
9,dr,-1.0141608341870023,train
10,dr,-1.0366441963913378,train
11,dr,-1.0525976772293106,train
12,dr,-1.0638430212616958,train
13,dr,-1.0716427874125312,train
14,dr,-1.077453535503334,train
15,dr,-1.0816474245139014,train
16,dr,-1.0848724381701278,train
17,dr,-1.0874009407221434,train
18,dr,-1.0892808258347026,train
19,dr,-1.0908404395417912,train
20,dr,-1.092082545472918,train
1,mis,-0.7456848938783602,train
2,mis,-0.7709190806953954,train
3,mis,-0.8083031928504878,train
4,mis,-0.8649792737034127,train
5,mis,-0.9383113846805458,train
6,mis,-1.0182054273469778,train
7,mis,-1.093730384614448,train
8,mis,-1.1569354234976734,train
9,mis,-1.2011550203135446,train
10,mis,-1.2271303641395475,train
11,mis,-1.2401600245153042,train
12,mis,-1.2466948964017524,train
13,mis,-1.2502169536432077,train
14,mis,-1.252403867966696,train
15,mis,-1.2541151129496195,train
16,mis,-1.2555713076738615,train
17,mis,-1.2567771757052546,train
18,mis,-1.2578456886952787,train
19,mis,-1.2587896132212735,train
20,mis,-1.25962228087673,train
