user,item,correct
73954,75,1.0
1863,78,0.0
36459,360,0.0
85550,377,0.0
96238,81,1.0
41737,120,0.0
47563,114,1.0
55227,202,1.0
38008,223,1.0
36927,107,1.0
67690,56,1.0
56809,39,1.0
14705,181,1.0
9582,52,1.0
81184,99,1.0
62407,211,0.0
25563,35,0.0
4411,12,0.0
49718,100,0.0
36232,247,1.0
12324,74,1.0
6727,34,1.0
7230,56,1.0
78514,481,1.0
16347,11,1.0
87085,57,1.0
9632,279,1.0
15990,72,1.0
12932,87,1.0
69417,81,1.0
13508,72,1.0
76228,35,1.0
70222,34,1.0
47998,344,1.0
94028,674,1.0
98376,429,1.0
17402,3,1.0
56373,3,1.0
42210,208,1.0
12158,72,1.0
61856,199,0.0
38959,487,1.0
92011,422,1.0
16968,75,1.0
54595,76,0.0
73,75,1.0
28511,11,1.0
68785,344,1.0
91030,82,0.0
37085,35,1.0
24096,373,0.0
71079,299,0.0
16983,136,1.0
46689,120,1.0
5290,257,0.0
32872,61,1.0
90808,200,1.0
70755,228,1.0
30806,76,1.0
72099,35,1.0
96762,57,1.0
13276,2,1.0
19931,76,1.0
91614,79,0.0
11455,200,1.0
23484,194,1.0
29793,34,1.0
19693,111,1.0
20616,27,1.0
98921,156,1.0
11247,7,1.0
76322,256,1.0
36310,3,1.0
5370,12,0.0
77362,302,1.0
28780,171,1.0
69488,83,0.0
17080,18,0.0
21406,110,1.0
22710,18,0.0
24778,348,1.0
40339,301,1.0
67061,156,1.0
87060,111,1.0
87968,199,0.0
81935,280,0.0
2544,56,1.0
89480,18,0.0
97473,111,1.0
8931,94,0.0
5782,308,1.0
86521,81,1.0
26872,284,1.0
82714,160,1.0
81473,60,0.0
35499,18,1.0
33888,1,1.0
5975,80,1.0
85422,93,1.0
1352,22,1.0
28493,4,1.0
84826,248,1.0
6022,11,1.0
33043,6,1.0
36447,18,1.0
26176,145,1.0
91150,299,1.0
94596,35,0.0
57896,75,1.0
47439,72,1.0
155,8,0.0
10889,21,1.0
73195,21,1.0
19748,187,1.0
30933,21,0.0
2690,78,0.0
48998,56,1.0
86677,114,1.0
30470,296,1.0
7129,52,0.0
73404,209,0.0
84550,537,0.0
67229,22,0.0
53440,6,1.0
37641,177,1.0
23394,34,1.0
33850,225,1.0
26388,210,1.0
39111,160,1.0
61984,210,1.0
15368,56,1.0
91661,90,1.0
68287,268,0.0
87005,3,0.0
39464,89,1.0
96514,142,1.0
29615,8,1.0
10936,4,1.0
99389,5,1.0
31019,12,0.0
80607,97,0.0
11069,200,1.0
51327,111,1.0
12930,3,1.0
52295,11,1.0
96331,6,1.0
70382,7,1.0
48083,96,0.0
20041,132,0.0
45128,259,0.0
57142,22,0.0
38654,44,0.0
44509,229,1.0
61415,605,1.0
14050,6,1.0
70667,99,1.0
7483,56,1.0
31024,109,1.0
17471,22,0.0
90806,39,1.0
15594,4,1.0
18309,7,1.0
54773,199,1.0
87932,73,1.0
2967,12,0.0
51327,255,0.0
52620,236,1.0
60412,8,0.0
51545,72,1.0
16495,89,1.0
93992,205,1.0
73001,32,1.0
28711,56,1.0
91696,257,1.0
44968,6,1.0
71037,112,1.0
16316,81,1.0
31143,99,1.0
30651,165,1.0
78819,257,0.0
5764,50,0.0
11766,35,1.0
66979,414,1.0
42268,185,0.0
50448,83,1.0
43900,18,0.0
40181,344,0.0
15963,31,1.0
1454,6,1.0
41153,4,1.0
60699,73,1.0
24457,4,1.0
9973,76,1.0
54143,39,1.0
9825,60,0.0
33393,942,0.0
85423,56,1.0
51090,369,1.0
17846,142,1.0
38709,91,1.0
80252,351,1.0
56347,212,0.0
7603,208,1.0
17186,35,1.0
87969,305,1.0
20537,247,1.0
40777,35,1.0
31021,17,0.0
43371,6,1.0
95467,234,1.0
80588,4,1.0
69775,6,1.0
1112,130,1.0
23979,72,1.0
72340,356,1.0
42361,73,1.0
49761,244,1.0
58487,18,0.0
50467,123,1.0
50742,73,1.0
26734,21,0.0
9847,448,1.0
10922,1,1.0
33177,235,1.0
67148,205,1.0
38325,15,0.0
35270,262,1.0
87444,115,1.0
7907,535,0.0
24515,115,1.0
75116,267,1.0
22590,170,1.0
41761,334,1.0
15979,160,1.0
60127,75,1.0
19613,219,1.0
77159,2,1.0
1629,446,0.0
34581,2,1.0
46019,11,1.0
19574,18,0.0
78479,1,1.0
63736,99,1.0
84633,78,0.0
46404,33,1.0
15037,56,1.0
25978,34,1.0
9498,12,0.0
51334,88,1.0
97694,73,1.0
53163,4,1.0
23931,93,0.0
90599,75,1.0
20066,22,0.0
33579,29,1.0
14615,80,1.0
15879,18,1.0
3999,5,1.0
17794,11,1.0
56017,6,1.0
26719,257,0.0
25973,13,1.0
17908,35,0.0
51699,279,1.0
63136,244,1.0
57746,33,1.0
40749,116,1.0
38638,291,0.0
3304,33,1.0
80514,299,1.0
19271,31,1.0
47081,98,1.0
68660,6,1.0
15590,1,1.0
12716,20,1.0
88316,207,1.0
6449,258,1.0
76501,3,1.0
55961,7,1.0
3400,4,1.0
9952,24,0.0
92316,232,1.0
10200,109,0.0
39329,61,0.0
31660,111,1.0
2210,321,0.0
85817,275,0.0
36592,279,1.0
81998,3,0.0
72202,118,0.0
55141,31,0.0
12379,349,1.0
16738,31,1.0
27239,34,1.0
39727,1,1.0
7248,156,1.0
5697,2,1.0
28078,33,1.0
55727,179,1.0
64992,6,1.0
65825,18,0.0
99674,4,1.0
36590,165,1.0
57895,72,1.0
1148,4,1.0
88422,209,1.0
47121,4,1.0
68222,72,1.0
67297,211,0.0
77752,89,1.0
32542,367,1.0
68114,156,0.0
42875,81,1.0
78100,93,0.0
99398,76,1.0
61554,2,1.0
72111,6,1.0
74773,1,1.0
32190,59,1.0
99873,198,1.0
74137,75,1.0
99885,35,0.0
94726,111,1.0
398,99,1.0
25979,114,0.0
90496,111,1.0
7632,75,1.0
99923,416,0.0
50367,241,0.0
54780,280,1.0
32070,6,1.0
62687,129,1.0
12035,106,1.0
37019,321,1.0
28647,161,0.0
41456,75,1.0
42134,9,1.0
91670,180,1.0
33255,479,0.0
72400,210,1.0
32358,31,0.0
2187,21,1.0
79987,2,1.0
69698,37,1.0
21438,308,1.0
41559,81,1.0
77301,111,1.0
92726,569,1.0
23753,33,1.0
15300,333,1.0
79029,305,1.0
58836,271,1.0
46711,3,1.0
3288,257,0.0
1215,79,0.0
64120,430,1.0
72024,22,1.0
56934,175,1.0
66834,18,0.0
29826,87,1.0
41502,160,1.0
29329,248,1.0
1537,649,1.0
55890,11,0.0
67604,202,1.0
59483,2,1.0
35810,295,1.0
18880,244,1.0
55772,259,1.0
28004,82,0.0
49487,678,0.0
85622,303,1.0
26997,126,1.0
85875,22,0.0
45505,2,1.0
46687,31,0.0
75326,11,1.0
59019,18,0.0
80099,7,1.0
42002,22,0.0
24745,152,1.0
93660,722,1.0
63556,2,1.0
37426,127,1.0
21905,30,1.0
41795,30,1.0
93524,206,1.0
38252,1,1.0
96260,21,0.0
66278,18,0.0
11349,106,1.0
21205,6,1.0
48297,4,1.0
41668,99,1.0
78622,111,1.0
34900,18,0.0
31963,267,1.0
6789,1,1.0
5903,104,1.0
17150,17,1.0
27979,57,1.0
21101,78,0.0
7067,88,1.0
